1,0,2725
2,208,2433
3,416,2160
4,625,1906
5,833,1673
6,1041,1463
7,1250,1276
8,1458,1115
9,1666,979
10,1875,870
11,2083,789
12,2291,736
13,2500,711
14,2708,715
15,2916,747
16,3125,807
17,3333,895
18,3541,1011
19,3750,1153
20,3958,1321
21,4166,1513
22,4375,1729
23,4583,1968
24,4791,2227
25,5000,2505
26,5208,2800
27,5416,3112
28,5625,3436
29,5833,3773
30,6041,4119
31,6250,4473
32,6458,4831
33,6666,5193
34,6875,5556
35,7083,5917
36,7291,6275
37,7500,6627
38,7708,6971
39,7916,7304
40,8125,7626
41,8333,7933
42,8541,8225
43,8750,8498
44,8958,8752
45,9166,8985
46,9375,9195
47,9583,9382
48,9791,9543
49,10000,9679
50,10208,9787
51,10416,9869
52,10625,9922
53,10833,9947
54,11041,9943
55,11250,9911
56,11458,9851
57,11666,9763
58,11875,9647
59,12083,9505
60,12291,9337
61,12500,9144
62,12708,8928
63,12916,8690
64,13125,8431
65,13333,8153
66,13541,7857
67,13750,7546
68,13958,7221
69,14166,6885
70,14375,6539
71,14583,6185
72,14791,5827
73,15000,5465
74,15208,5102
75,15416,4741
76,15625,4383
77,15833,4031
78,16041,3687
79,16250,3353
80,16458,3032
81,16666,2725
82,16875,2433
83,17083,2160
84,17291,1906
85,17500,1673
86,17708,1463
87,17916,1276
88,18125,1115
89,18333,979
90,18541,871
91,18750,789
92,18958,736
93,19166,711
94,19375,715
95,19583,747
96,19791,807
97,20000,895
98,20208,1011
99,20416,1153
100,20625,1321
101,20833,1513
102,21041,1730
103,21250,1968
104,21458,2227
105,21666,2505
106,21875,2801
107,22083,3112
108,22291,3437
109,22500,3773
110,22708,4119
111,22916,4473
112,23125,4831
113,23333,5193
114,23541,5556
115,23750,5917
116,23958,6275
117,24166,6627
118,24375,6971
119,24583,7305
120,24791,7626
121,25000,7933
122,25208,8225
123,25416,8498
124,25625,8752
125,25833,8985
126,26041,9195
127,26250,9382
128,26458,9543
129,26666,9679
130,26875,9787
131,27083,9869
132,27291,9922
133,27500,9947
134,27708,9943
135,27916,9911
136,28125,9851
137,28333,9763
138,28541,9647
139,28750,9505
140,28958,9337
141,29166,9144
